Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Total;Total Nacional;21 años;2037;550.173,958531
Total;Total Nacional;21 años;2036;556.702,074368
Total;Total Nacional;21 años;2035;551.781,421623
Total;Total Nacional;21 años;2034;575.983,390329
Total;Total Nacional;21 años;2033;586.849,981122
Total;Total Nacional;21 años;2032;596.336,281597
Total;Total Nacional;21 años;2031;602.275,878016
Total;Total Nacional;21 años;2030;621.535,534525
Total;Total Nacional;21 años;2029;597.784,793027
Total;Total Nacional;21 años;2028;588.394,34895
Total;Total Nacional;21 años;2027;573.865,757119
Total;Total Nacional;21 años;2026;563.792,394178
Total;Total Nacional;21 años;2025;544.285,63009
Total;Total Nacional;21 años;2024;514.262
Total;Total Nacional;22 años;2041;""
Total;Total Nacional;22 años;2040;""
Total;Total Nacional;22 años;2039;549.887,2112
Total;Total Nacional;22 años;2038;559.156,545301
Total;Total Nacional;22 años;2037;565.738,189464
Total;Total Nacional;22 años;2036;561.040,867441
Total;Total Nacional;22 años;2035;585.491,175866
Total;Total Nacional;22 años;2034;596.808,507032
Total;Total Nacional;22 años;2033;606.903,219185
Total;Total Nacional;22 años;2032;613.698,993717
Total;Total Nacional;22 años;2031;634.002,108129
Total;Total Nacional;22 años;2030;611.673,085474
Total;Total Nacional;22 años;2029;603.757,719088
Total;Total Nacional;22 años;2028;590.685,66339
Total;Total Nacional;22 años;2027;581.915,405597
Total;Total Nacional;22 años;2026;563.524,327641
Total;Total Nacional;22 años;2025;533.863,568705
Total;Total Nacional;22 años;2024;517.469
Total;Total Nacional;23 años;2041;""
Total;Total Nacional;23 años;2040;""
Total;Total Nacional;23 años;2039;568.442,249169
Total;Total Nacional;23 años;2038;575.008,828952
Total;Total Nacional;23 años;2037;570.439,791202
Total;Total Nacional;23 años;2036;595.011,011048
Total;Total Nacional;23 años;2035;606.621,950271
Total;Total Nacional;23 años;2034;617.140,917158
Total;Total Nacional;23 años;2033;624.587,150384
Total;Total Nacional;23 años;2032;645.720,89286
Total;Total Nacional;23 años;2031;624.617,608564
Total;Total Nacional;23 años;2030;618.039,761009
Total;Total Nacional;23 años;2029;606.402,572714
Total;Total Nacional;23 años;2028;599.100,82928
Total;Total Nacional;23 años;2027;582.266,672381
Total;Total Nacional;23 años;2026;553.830,457946
Total;Total Nacional;23 años;2025;537.598,677816
Total;Total Nacional;23 años;2024;526.468
Total;Total Nacional;24 años;2041;""
Total;Total Nacional;24 años;2040;""
Total;Total Nacional;24 años;2039;584.449,331496
Total;Total Nacional;24 años;2038;579.936,944287
Total;Total Nacional;24 años;2037;604.523,044687
Total;Total Nacional;24 años;2036;616.291,139232
Total;Total Nacional;24 años;2035;627.065,428562
Total;Total Nacional;24 años;2034;634.960,653541
Total;Total Nacional;24 años;2033;656.697,00447
Total;Total Nacional;24 años;2032;636.584,547261
Total;Total Nacional;24 años;2031;631.127,461763
Total;Total Nacional;24 años;2030;620.771,375624
Total;Total Nacional;24 años;2029;614.899,498949
Total;Total Nacional;24 años;2028;599.768,100531
Total;Total Nacional;24 años;2027;573.009,978252
Total;Total Nacional;24 años;2026;557.863,706729
Total;Total Nacional;24 años;2025;546.722,733716
Total;Total Nacional;24 años;2024;520.098
